,date,open,high,low,close,volume,oi
0,2022-04-29 09:15:00+05:30,71.4,73.15,70.05,70.05,2100,610150
1,2022-04-29 09:16:00+05:30,70.9,72.55,70.65,72.25,6600,610150
2,2022-04-29 09:17:00+05:30,71.45,73.0,71.45,72.75,5350,613050
3,2022-04-29 09:18:00+05:30,72.75,73.2,71.85,73.2,1800,613050
4,2022-04-29 09:19:00+05:30,73.2,73.2,71.8,72.6,2000,613050
5,2022-04-29 09:20:00+05:30,72.65,72.65,71.65,71.85,18500,611650
6,2022-04-29 09:21:00+05:30,71.8,71.8,69.8,69.8,6100,611650
7,2022-04-29 09:22:00+05:30,69.8,70.3,69.25,69.35,6150,611650
8,2022-04-29 09:23:00+05:30,69.35,69.95,69.05,69.3,1850,616900
9,2022-04-29 09:24:00+05:30,69.3,69.3,68.75,68.75,1250,616900
10,2022-04-29 09:25:00+05:30,68.75,69.0,68.4,68.85,3650,616900
11,2022-04-29 09:26:00+05:30,68.85,69.25,68.55,69.0,3150,614550
12,2022-04-29 09:27:00+05:30,68.95,69.5,68.95,69.35,1800,614550
13,2022-04-29 09:28:00+05:30,69.35,70.0,69.0,69.7,1900,614550
14,2022-04-29 09:29:00+05:30,69.7,70.05,69.5,69.8,750,612650
15,2022-04-29 09:30:00+05:30,69.8,70.7,69.25,69.25,1500,612650
16,2022-04-29 09:31:00+05:30,69.25,69.25,68.3,68.4,1400,612650
17,2022-04-29 09:32:00+05:30,68.4,68.4,68.1,68.3,1450,613600
18,2022-04-29 09:33:00+05:30,68.3,69.2,68.3,69.05,1300,613600
19,2022-04-29 09:34:00+05:30,69.05,70.25,69.05,70.25,550,613600
20,2022-04-29 09:35:00+05:30,70.35,71.5,70.0,71.5,2700,610150
21,2022-04-29 09:36:00+05:30,71.5,71.8,71.25,71.4,2500,610150
22,2022-04-29 09:37:00+05:30,71.5,71.6,70.7,71.0,4500,610150
23,2022-04-29 09:38:00+05:30,71.05,71.4,70.5,71.35,1500,614050
24,2022-04-29 09:39:00+05:30,71.35,71.65,71.15,71.4,1650,614050
25,2022-04-29 09:40:00+05:30,71.4,71.4,70.9,71.2,550,614050
26,2022-04-29 09:41:00+05:30,71.2,72.15,71.1,72.05,450,615700
27,2022-04-29 09:42:00+05:30,72.05,72.9,72.05,72.85,3150,615700
28,2022-04-29 09:43:00+05:30,72.85,72.85,72.15,72.65,2850,615700
29,2022-04-29 09:44:00+05:30,72.65,73.9,72.45,73.9,1850,613850
30,2022-04-29 09:45:00+05:30,73.9,75.45,73.9,75.45,5800,613850
31,2022-04-29 09:46:00+05:30,75.45,76.7,75.2,76.7,2400,613850
32,2022-04-29 09:47:00+05:30,76.7,79.45,76.7,79.2,5200,619000
33,2022-04-29 09:48:00+05:30,79.2,80.3,77.7,78.8,1400,619000
