,date,open,high,low,close,volume,oi
0,2022-04-29 09:15:00+05:30,96.2,96.2,96.2,96.2,0,0
1,2022-04-29 09:16:00+05:30,96.2,96.2,96.2,96.2,0,15950
2,2022-04-29 09:17:00+05:30,96.2,96.2,88.2,89.2,3050,15950
3,2022-04-29 09:18:00+05:30,88.0,88.1,85.65,85.65,700,15950
4,2022-04-29 09:19:00+05:30,85.65,86.7,84.75,86.7,550,15950
5,2022-04-29 09:20:00+05:30,87.1,93.75,87.1,90.35,1800,19200
6,2022-04-29 09:21:00+05:30,89.15,89.15,87.0,87.0,1300,19200
7,2022-04-29 09:22:00+05:30,88.0,88.0,82.0,82.0,1850,19200
8,2022-04-29 09:23:00+05:30,81.0,81.0,78.3,79.35,1250,19600
9,2022-04-29 09:24:00+05:30,79.35,79.35,74.45,74.45,350,19600
10,2022-04-29 09:25:00+05:30,73.95,73.95,72.95,73.2,200,19600
11,2022-04-29 09:26:00+05:30,73.2,73.2,71.45,73.05,1000,19450
12,2022-04-29 09:27:00+05:30,73.05,80.3,72.5,80.3,1950,19450
13,2022-04-29 09:28:00+05:30,80.3,80.3,79.85,79.85,550,19450
14,2022-04-29 09:29:00+05:30,79.85,80.9,79.85,80.9,50,19050
15,2022-04-29 09:30:00+05:30,81.45,82.4,78.85,78.85,250,19050
16,2022-04-29 09:31:00+05:30,78.85,78.85,76.45,78.0,750,19050
17,2022-04-29 09:32:00+05:30,78.4,83.0,78.4,80.4,2450,18800
18,2022-04-29 09:33:00+05:30,80.4,84.0,79.2,79.2,150,18800
19,2022-04-29 09:34:00+05:30,79.2,81.6,79.2,81.6,200,18800
20,2022-04-29 09:35:00+05:30,81.6,82.8,81.6,82.8,200,19600
21,2022-04-29 09:36:00+05:30,83.85,86.85,83.85,86.85,350,19600
22,2022-04-29 09:37:00+05:30,86.85,88.4,86.85,88.1,550,19600
23,2022-04-29 09:38:00+05:30,88.1,90.0,88.1,89.0,700,19800
24,2022-04-29 09:39:00+05:30,89.0,89.95,88.45,88.45,350,19800
25,2022-04-29 09:40:00+05:30,88.55,88.55,84.9,86.8,650,19800
26,2022-04-29 09:41:00+05:30,90.0,92.0,89.0,90.55,2300,21350
27,2022-04-29 09:42:00+05:30,90.4,92.0,90.4,92.0,900,21350
28,2022-04-29 09:43:00+05:30,92.0,92.0,89.95,90.3,600,21350
