,date,open,high,low,close,volume,oi
0,2022-05-18 14:40:00+05:30,1.15,1.15,1.1,1.1,19800,0
1,2022-05-18 14:41:00+05:30,1.1,1.1,1.1,1.1,23400,0
2,2022-05-18 14:42:00+05:30,1.1,1.1,1.1,1.1,0,0
3,2022-05-18 14:43:00+05:30,1.1,1.1,1.1,1.1,3600,43200
4,2022-05-18 14:44:00+05:30,1.1,1.1,1.1,1.1,0,43200
5,2022-05-18 14:45:00+05:30,1.15,1.15,1.1,1.1,9000,48600
6,2022-05-18 14:46:00+05:30,1.1,1.1,1.1,1.1,0,48600
7,2022-05-18 14:47:00+05:30,1.1,1.1,1.1,1.1,1800,48600
8,2022-05-18 14:48:00+05:30,1.1,1.1,1.1,1.1,0,48600
9,2022-05-18 14:49:00+05:30,1.1,1.1,1.1,1.1,0,48600
10,2022-05-18 14:50:00+05:30,1.1,1.1,1.1,1.1,0,48600
11,2022-05-18 14:51:00+05:30,1.1,1.1,1.1,1.1,0,48600
12,2022-05-18 14:52:00+05:30,1.1,1.1,1.1,1.1,1800,52200
13,2022-05-18 14:53:00+05:30,1.1,1.1,1.1,1.1,1800,52200
14,2022-05-18 14:54:00+05:30,1.1,1.1,1.1,1.1,1800,52200
15,2022-05-18 14:55:00+05:30,1.1,1.1,1.05,1.05,1800,55800
16,2022-05-18 14:56:00+05:30,1.05,1.05,1.05,1.05,10800,55800
17,2022-05-18 14:57:00+05:30,1.05,1.05,1.05,1.05,3600,55800
18,2022-05-18 14:58:00+05:30,1.05,1.05,1.05,1.05,7200,70200
19,2022-05-18 14:59:00+05:30,1.05,1.05,1.05,1.05,1800,70200
20,2022-05-18 15:00:00+05:30,1.05,1.05,1.05,1.05,0,70200
21,2022-05-18 15:01:00+05:30,1.05,1.05,1.05,1.05,0,70200
22,2022-05-18 15:02:00+05:30,1.05,1.05,1.05,1.05,0,70200
23,2022-05-18 15:04:00+05:30,1.05,1.05,1.05,1.05,0,70200
24,2022-05-18 15:05:00+05:30,1.05,1.05,1.05,1.05,3600,77400
25,2022-05-18 15:06:00+05:30,1.05,1.05,1.05,1.05,0,77400
26,2022-05-18 15:07:00+05:30,1.05,1.05,1.05,1.05,3600,81000
27,2022-05-18 15:08:00+05:30,1.05,1.05,1.05,1.05,5400,81000
28,2022-05-18 15:09:00+05:30,1.05,1.05,1.05,1.05,0,81000
29,2022-05-18 15:10:00+05:30,1.05,1.05,1.05,1.05,1800,90000
30,2022-05-18 15:11:00+05:30,1.05,1.05,1.05,1.05,0,90000
31,2022-05-18 15:12:00+05:30,1.05,1.05,1.05,1.05,0,90000
32,2022-05-18 15:13:00+05:30,1.05,1.05,1.05,1.05,0,90000
33,2022-05-18 15:14:00+05:30,1.05,1.1,1.05,1.1,5400,91800
34,2022-05-18 15:15:00+05:30,1.1,1.1,1.1,1.1,0,91800
35,2022-05-18 15:16:00+05:30,1.1,1.1,1.1,1.1,0,91800
36,2022-05-18 15:17:00+05:30,1.1,1.1,1.1,1.1,0,91800
37,2022-05-18 15:18:00+05:30,1.1,1.1,1.1,1.1,1800,93600
38,2022-05-18 15:20:00+05:30,1.1,1.15,1.1,1.15,0,95400
39,2022-05-18 15:21:00+05:30,1.15,1.15,1.15,1.15,9000,95400
40,2022-05-18 15:22:00+05:30,1.15,1.2,1.15,1.2,0,95400
41,2022-05-18 15:23:00+05:30,1.2,1.2,1.2,1.2,1800,95400
42,2022-05-18 15:24:00+05:30,1.2,1.25,1.2,1.25,9000,99000
43,2022-05-18 15:25:00+05:30,1.25,1.3,1.25,1.3,14400,99000
44,2022-05-18 15:26:00+05:30,1.3,1.3,1.3,1.3,0,99000
45,2022-05-18 15:27:00+05:30,1.3,1.35,1.3,1.35,14400,99000
46,2022-05-18 15:28:00+05:30,1.35,1.35,1.35,1.35,0,99000
47,2022-05-18 15:29:00+05:30,1.35,1.35,1.35,1.35,0,99000
48,2022-05-19 09:15:00+05:30,1.8,1.8,1.8,1.8,0,0
49,2022-05-19 09:17:00+05:30,1.8,1.8,1.8,1.8,3600,120600
50,2022-05-19 09:18:00+05:30,1.8,1.8,1.75,1.75,5400,118800
51,2022-05-19 09:19:00+05:30,1.75,1.8,1.75,1.8,14400,118800
52,2022-05-19 09:20:00+05:30,1.8,2.0,1.8,1.9,57600,118800
53,2022-05-19 09:21:00+05:30,1.9,1.95,1.85,1.85,9000,129600
54,2022-05-19 09:22:00+05:30,1.9,1.9,1.9,1.9,9000,129600
55,2022-05-19 09:23:00+05:30,1.9,1.95,1.9,1.95,0,129600
56,2022-05-19 09:24:00+05:30,1.95,1.95,1.95,1.95,3600,129600
57,2022-05-19 09:25:00+05:30,1.95,1.95,1.9,1.9,12600,129600
58,2022-05-19 09:26:00+05:30,1.9,1.9,1.65,1.75,165600,160200
59,2022-05-19 09:27:00+05:30,1.8,2.0,1.8,2.0,41400,160200
60,2022-05-19 09:28:00+05:30,2.05,2.1,2.05,2.1,14400,160200
61,2022-05-19 09:29:00+05:30,2.1,2.15,2.1,2.15,1800,147600
62,2022-05-19 09:30:00+05:30,2.1,2.15,2.1,2.15,9000,147600
63,2022-05-19 09:31:00+05:30,2.15,2.25,2.15,2.25,5400,147600
64,2022-05-19 09:32:00+05:30,2.2,2.3,2.2,2.3,10800,147600
65,2022-05-19 09:33:00+05:30,2.3,2.4,2.3,2.3,9000,133200
66,2022-05-19 09:34:00+05:30,2.3,2.3,2.25,2.25,3600,133200
67,2022-05-19 09:35:00+05:30,2.25,2.25,2.25,2.25,0,133200
68,2022-05-19 09:36:00+05:30,2.25,2.35,2.25,2.35,9000,126000
69,2022-05-19 09:37:00+05:30,2.35,2.35,2.35,2.35,0,126000
70,2022-05-19 09:38:00+05:30,2.3,2.3,2.3,2.3,5400,118800
71,2022-05-19 09:39:00+05:30,2.3,2.3,2.25,2.25,3600,118800
72,2022-05-19 09:40:00+05:30,2.25,2.25,2.25,2.25,0,118800
73,2022-05-19 09:41:00+05:30,2.25,2.25,2.25,2.25,0,118800
74,2022-05-19 09:42:00+05:30,2.25,2.25,2.25,2.25,1800,120600
75,2022-05-19 09:43:00+05:30,2.25,2.25,2.25,2.25,0,120600
76,2022-05-19 09:44:00+05:30,2.25,2.25,2.25,2.25,0,120600
77,2022-05-19 09:45:00+05:30,2.25,2.35,2.25,2.35,3600,120600
