,date,open,high,low,close,volume,oi
0,2022-04-29 09:15:00+05:30,69.0,69.0,66.5,68.6,4200,225900
1,2022-04-29 09:16:00+05:30,68.6,68.6,68.15,68.15,1500,225900
2,2022-04-29 09:17:00+05:30,68.15,68.15,65.2,65.9,12300,222300
3,2022-04-29 09:18:00+05:30,67.0,67.0,66.5,66.55,6900,222300
4,2022-04-29 09:19:00+05:30,66.55,66.55,66.0,66.0,12600,222300
5,2022-04-29 09:20:00+05:30,66.35,67.85,66.35,67.85,2400,215400
6,2022-04-29 09:21:00+05:30,67.8,68.15,67.35,67.35,5100,215400
7,2022-04-29 09:22:00+05:30,67.25,67.75,67.0,67.55,3600,215400
8,2022-04-29 09:23:00+05:30,67.55,67.55,66.2,66.2,600,213300
9,2022-04-29 09:24:00+05:30,66.2,66.2,66.0,66.2,1200,213300
10,2022-04-29 09:25:00+05:30,66.05,66.15,66.05,66.15,900,213300
11,2022-04-29 09:26:00+05:30,66.0,66.0,66.0,66.0,600,213300
12,2022-04-29 09:27:00+05:30,66.0,66.85,66.0,66.85,900,212400
13,2022-04-29 09:28:00+05:30,66.85,66.85,66.5,66.5,300,212400
14,2022-04-29 09:29:00+05:30,66.5,66.55,66.35,66.55,1800,212700
15,2022-04-29 09:30:00+05:30,66.3,66.55,66.3,66.5,3000,212700
16,2022-04-29 09:31:00+05:30,65.95,66.35,65.95,65.95,300,212700
17,2022-04-29 09:32:00+05:30,65.95,66.3,65.95,66.3,4200,212700
18,2022-04-29 09:33:00+05:30,66.3,66.3,65.5,65.5,600,208200
19,2022-04-29 09:34:00+05:30,65.5,65.5,63.65,63.65,2100,208200
20,2022-04-29 09:35:00+05:30,64.0,64.0,63.35,63.35,1500,209700
21,2022-04-29 09:36:00+05:30,63.35,63.35,61.65,61.65,8400,209700
22,2022-04-29 09:37:00+05:30,61.65,62.15,61.55,62.15,1200,209700
23,2022-04-29 09:38:00+05:30,62.15,62.15,62.15,62.15,1800,209700
24,2022-04-29 09:39:00+05:30,62.15,63.05,62.15,63.0,1200,212700
25,2022-04-29 09:40:00+05:30,63.0,63.0,62.9,63.0,900,212700
26,2022-04-29 09:41:00+05:30,63.0,63.35,63.0,63.35,0,212400
27,2022-04-29 09:42:00+05:30,63.35,63.35,62.85,62.85,1200,212400
28,2022-04-29 09:43:00+05:30,63.0,63.0,63.0,63.0,300,212400
29,2022-04-29 09:44:00+05:30,62.95,62.95,62.0,62.0,300,213000
30,2022-04-29 09:45:00+05:30,62.0,62.0,60.55,60.55,6900,213000
31,2022-04-29 09:46:00+05:30,60.55,60.6,60.5,60.5,6000,213000
32,2022-04-29 09:47:00+05:30,60.5,60.5,59.75,59.75,16500,219300
33,2022-04-29 09:48:00+05:30,59.75,60.2,59.75,59.85,600,219300
34,2022-04-29 09:49:00+05:30,59.8,60.45,59.8,60.45,3000,219300
35,2022-04-29 09:50:00+05:30,60.45,60.8,60.0,60.8,900,233400
36,2022-04-29 09:51:00+05:30,60.8,60.95,60.45,60.95,900,233400
37,2022-04-29 09:52:00+05:30,60.85,60.85,60.85,60.85,2100,233400
38,2022-04-29 09:53:00+05:30,60.85,61.15,60.85,61.15,1800,232200
39,2022-04-29 09:54:00+05:30,60.8,60.9,60.8,60.9,600,232200
40,2022-04-29 09:55:00+05:30,60.9,60.9,60.55,60.55,300,232200
41,2022-04-29 09:56:00+05:30,60.55,60.55,60.55,60.55,0,234600
42,2022-04-29 09:57:00+05:30,60.55,61.35,60.55,61.35,900,234600
43,2022-04-29 09:58:00+05:30,61.35,61.55,61.15,61.55,600,234600
44,2022-04-29 09:59:00+05:30,61.55,61.55,60.35,60.7,5100,234000
45,2022-04-29 10:00:00+05:30,60.8,61.05,60.65,61.05,1800,234000
46,2022-04-29 10:01:00+05:30,61.05,61.15,61.05,61.15,300,234000
47,2022-04-29 10:02:00+05:30,61.15,61.8,61.15,61.8,900,234300
48,2022-04-29 10:03:00+05:30,61.8,61.8,60.95,60.95,1200,234300
49,2022-04-29 10:04:00+05:30,60.95,61.35,60.95,61.35,1800,234300
50,2022-04-29 10:05:00+05:30,61.35,61.35,61.35,61.35,0,234300
51,2022-04-29 10:06:00+05:30,61.35,61.65,61.15,61.15,600,233400
52,2022-04-29 10:07:00+05:30,61.15,61.15,61.05,61.05,900,233400
53,2022-04-29 10:08:00+05:30,61.05,61.05,61.05,61.05,0,233400
54,2022-04-29 10:09:00+05:30,61.05,61.35,60.85,61.35,1200,234000
55,2022-04-29 10:10:00+05:30,61.35,61.35,61.2,61.2,300,234000
56,2022-04-29 10:11:00+05:30,61.35,61.4,61.0,61.0,3600,237600
57,2022-04-29 10:12:00+05:30,61.0,61.0,61.0,61.0,2400,237600
58,2022-04-29 10:13:00+05:30,61.0,61.0,61.0,61.0,600,237600
59,2022-04-29 10:14:00+05:30,61.0,61.0,60.6,60.8,900,239400
60,2022-04-29 10:15:00+05:30,60.8,60.8,60.5,60.5,300,239400
61,2022-04-29 10:16:00+05:30,60.5,60.5,60.5,60.5,300,239400
62,2022-04-29 10:17:00+05:30,60.0,60.45,60.0,60.4,3300,240300
63,2022-04-29 10:18:00+05:30,60.4,60.4,60.4,60.4,900,240300
64,2022-04-29 10:19:00+05:30,60.4,61.5,60.4,61.5,2100,240300
65,2022-04-29 10:20:00+05:30,61.7,61.75,61.0,61.0,4200,243600
66,2022-04-29 10:21:00+05:30,61.0,62.0,61.0,61.4,600,243600
67,2022-04-29 10:22:00+05:30,61.4,61.45,61.4,61.45,300,243600
68,2022-04-29 10:23:00+05:30,61.45,61.45,61.45,61.45,0,243600
69,2022-04-29 10:24:00+05:30,61.45,61.45,61.4,61.4,300,246600
70,2022-04-29 10:25:00+05:30,61.4,61.4,61.4,61.4,0,246600
71,2022-04-29 10:26:00+05:30,61.4,62.0,61.4,62.0,1200,246600
72,2022-04-29 10:27:00+05:30,62.0,62.2,62.0,62.2,3600,246600
73,2022-04-29 10:28:00+05:30,62.2,62.2,61.5,61.55,3300,246600
74,2022-04-29 10:29:00+05:30,61.55,61.55,61.2,61.2,300,246600
75,2022-04-29 10:30:00+05:30,61.2,62.1,61.2,62.1,300,240900
76,2022-04-29 10:31:00+05:30,62.1,62.1,62.1,62.1,0,240900
77,2022-04-29 10:32:00+05:30,62.1,62.5,62.1,62.5,1800,240900
78,2022-04-29 10:33:00+05:30,62.5,62.5,62.5,62.5,0,240900
79,2022-04-29 10:34:00+05:30,62.5,62.5,62.5,62.5,0,240900
80,2022-04-29 10:35:00+05:30,62.5,62.5,62.5,62.5,0,240900
81,2022-04-29 10:36:00+05:30,62.5,62.5,62.5,62.5,600,239100
82,2022-04-29 10:37:00+05:30,62.5,62.5,62.35,62.35,300,239100
83,2022-04-29 10:38:00+05:30,62.35,62.35,62.0,62.0,300,239100
84,2022-04-29 10:39:00+05:30,62.0,62.0,62.0,62.0,0,239100
85,2022-04-29 10:40:00+05:30,62.0,62.0,62.0,62.0,300,240000
86,2022-04-29 10:41:00+05:30,62.0,62.0,61.45,61.45,1500,240000
87,2022-04-29 10:42:00+05:30,61.45,61.45,60.9,60.9,2700,240000
88,2022-04-29 10:43:00+05:30,60.9,61.4,60.9,61.15,2100,240000
89,2022-04-29 10:44:00+05:30,61.15,61.15,60.65,60.65,0,243000
90,2022-04-29 10:45:00+05:30,60.65,60.65,60.0,60.25,1500,243000
91,2022-04-29 10:46:00+05:30,60.4,60.4,60.25,60.4,600,243000
92,2022-04-29 10:47:00+05:30,60.4,60.4,60.4,60.4,0,243000
93,2022-04-29 10:48:00+05:30,60.4,60.4,60.4,60.4,300,243600
94,2022-04-29 10:49:00+05:30,60.4,60.4,60.4,60.4,0,243600
95,2022-04-29 10:50:00+05:30,60.4,60.65,60.4,60.45,600,243600
96,2022-04-29 10:51:00+05:30,60.45,60.55,60.4,60.4,300,243000
97,2022-04-29 10:52:00+05:30,60.4,62.7,60.4,61.05,9600,243000
98,2022-04-29 10:53:00+05:30,61.05,62.35,61.05,62.0,1500,241200
99,2022-04-29 10:54:00+05:30,62.0,62.2,62.0,62.2,600,241200
100,2022-04-29 10:55:00+05:30,62.2,62.5,62.2,62.5,300,241200
101,2022-04-29 10:56:00+05:30,62.5,62.5,62.3,62.3,900,240900
102,2022-04-29 10:57:00+05:30,62.3,62.3,62.3,62.3,300,240900
