,date,open,high,low,close,volume,oi
0,2022-04-29 09:15:00+05:30,34.0,34.0,29.2,29.2,6600,319500
1,2022-04-29 09:16:00+05:30,29.7,30.45,29.55,30.45,9300,319500
2,2022-04-29 09:17:00+05:30,30.45,30.45,29.7,30.45,5700,319200
3,2022-04-29 09:18:00+05:30,29.9,30.0,29.85,29.9,3600,319200
4,2022-04-29 09:19:00+05:30,29.9,30.1,29.65,29.95,18000,319200
5,2022-04-29 09:20:00+05:30,29.7,29.7,29.0,29.0,2400,323400
6,2022-04-29 09:21:00+05:30,28.6,28.85,28.4,28.65,5700,323400
7,2022-04-29 09:22:00+05:30,29.05,29.7,29.05,29.6,3000,323400
8,2022-04-29 09:23:00+05:30,29.6,29.95,29.6,29.95,1200,323700
9,2022-04-29 09:24:00+05:30,30.2,30.2,29.85,29.85,6900,323700
10,2022-04-29 09:25:00+05:30,29.5,29.9,29.4,29.9,3300,323700
11,2022-04-29 09:26:00+05:30,29.9,30.1,29.65,29.65,1200,324300
12,2022-04-29 09:27:00+05:30,29.65,30.0,29.65,29.85,4200,324300
13,2022-04-29 09:28:00+05:30,29.6,29.85,29.6,29.7,2400,324300
14,2022-04-29 09:29:00+05:30,29.7,29.95,29.7,29.8,1500,327300
15,2022-04-29 09:30:00+05:30,30.05,30.05,29.6,29.95,3900,327300
16,2022-04-29 09:31:00+05:30,30.05,30.05,30.05,30.05,2700,327300
17,2022-04-29 09:32:00+05:30,30.05,30.05,29.85,29.85,3300,331800
18,2022-04-29 09:33:00+05:30,29.85,30.2,29.85,30.2,5700,331800
19,2022-04-29 09:34:00+05:30,30.2,31.0,30.2,31.0,8700,331800
20,2022-04-29 09:35:00+05:30,31.0,32.15,31.0,32.1,3000,339900
21,2022-04-29 09:36:00+05:30,32.1,32.6,32.1,32.55,5100,339900
22,2022-04-29 09:37:00+05:30,32.55,32.65,32.0,32.0,2700,339900
23,2022-04-29 09:38:00+05:30,32.3,32.3,31.85,31.95,1800,339900
24,2022-04-29 09:39:00+05:30,31.95,31.95,31.5,31.6,1500,339900
25,2022-04-29 09:40:00+05:30,31.6,31.7,31.45,31.7,4500,339900
26,2022-04-29 09:41:00+05:30,31.7,31.9,31.55,31.9,1500,342000
27,2022-04-29 09:42:00+05:30,31.9,32.3,31.9,32.3,600,342000
28,2022-04-29 09:43:00+05:30,32.3,32.3,32.0,32.0,1800,342000
29,2022-04-29 09:44:00+05:30,32.0,32.1,32.0,32.1,900,343500
30,2022-04-29 09:45:00+05:30,32.5,33.3,32.5,33.3,900,343500
31,2022-04-29 09:46:00+05:30,33.3,33.7,33.2,33.4,2100,343500
32,2022-04-29 09:47:00+05:30,33.8,34.25,33.7,34.25,2700,345300
33,2022-04-29 09:48:00+05:30,34.25,35.0,34.15,34.6,2700,345300
34,2022-04-29 09:49:00+05:30,34.6,34.8,34.35,34.65,3600,345300
35,2022-04-29 09:50:00+05:30,34.65,34.9,34.3,34.3,2400,347700
36,2022-04-29 09:51:00+05:30,34.3,34.3,34.1,34.1,600,347700
37,2022-04-29 09:52:00+05:30,33.3,33.6,33.2,33.2,4500,347700
38,2022-04-29 09:53:00+05:30,33.2,33.35,33.0,33.35,1200,349500
39,2022-04-29 09:54:00+05:30,33.35,33.55,33.35,33.55,300,349500
40,2022-04-29 09:55:00+05:30,33.55,34.05,33.55,34.05,1200,349500
41,2022-04-29 09:56:00+05:30,34.05,34.1,34.05,34.1,2100,352800
42,2022-04-29 09:57:00+05:30,34.2,34.2,33.5,33.65,1800,352800
43,2022-04-29 09:58:00+05:30,33.3,33.45,33.3,33.3,900,352800
44,2022-04-29 09:59:00+05:30,33.3,33.75,33.1,33.4,9600,353700
45,2022-04-29 10:00:00+05:30,33.3,33.45,33.3,33.3,1500,353700
46,2022-04-29 10:01:00+05:30,33.3,33.3,33.15,33.15,600,353700
47,2022-04-29 10:02:00+05:30,33.05,33.05,32.45,32.55,1500,355200
48,2022-04-29 10:03:00+05:30,32.7,32.8,32.55,32.7,4200,355200
49,2022-04-29 10:04:00+05:30,32.7,32.7,32.7,32.7,300,355200
50,2022-04-29 10:05:00+05:30,32.7,32.7,32.55,32.55,900,356100
51,2022-04-29 10:06:00+05:30,32.55,32.85,32.55,32.8,1500,356100
52,2022-04-29 10:07:00+05:30,32.95,33.0,32.95,33.0,2100,356100
53,2022-04-29 10:08:00+05:30,33.0,33.05,33.0,33.05,300,356700
54,2022-04-29 10:09:00+05:30,33.05,33.25,33.05,33.2,1800,356700
55,2022-04-29 10:10:00+05:30,33.2,33.2,33.1,33.1,300,356700
56,2022-04-29 10:11:00+05:30,33.1,33.15,32.8,33.15,1800,357600
57,2022-04-29 10:12:00+05:30,33.15,33.45,33.15,33.45,3600,357600
58,2022-04-29 10:13:00+05:30,33.45,33.6,33.45,33.45,300,357600
59,2022-04-29 10:14:00+05:30,33.45,33.75,33.45,33.75,900,358200
60,2022-04-29 10:15:00+05:30,33.55,33.95,33.55,33.9,900,358200
61,2022-04-29 10:16:00+05:30,33.9,34.0,33.9,34.0,900,358200
62,2022-04-29 10:17:00+05:30,34.0,34.15,33.8,34.0,4500,361800
63,2022-04-29 10:18:00+05:30,34.0,34.0,32.4,32.4,2700,361800
64,2022-04-29 10:19:00+05:30,32.4,32.7,32.35,32.35,1800,361800
65,2022-04-29 10:20:00+05:30,32.35,33.0,32.35,33.0,1200,362100
66,2022-04-29 10:21:00+05:30,33.0,33.0,32.8,33.0,600,362100
67,2022-04-29 10:22:00+05:30,33.0,33.0,33.0,33.0,300,362100
68,2022-04-29 10:23:00+05:30,33.0,33.05,32.95,33.05,600,362100
69,2022-04-29 10:24:00+05:30,33.05,33.05,33.05,33.05,0,362100
70,2022-04-29 10:25:00+05:30,33.05,33.05,32.25,32.25,1200,362100
71,2022-04-29 10:26:00+05:30,32.25,32.35,32.2,32.2,600,362700
72,2022-04-29 10:27:00+05:30,32.2,32.2,32.0,32.05,900,362700
73,2022-04-29 10:28:00+05:30,32.1,32.1,32.05,32.05,600,362700
74,2022-04-29 10:29:00+05:30,32.35,32.35,32.35,32.35,300,362700
75,2022-04-29 10:30:00+05:30,32.2,32.2,31.6,31.75,1500,363600
76,2022-04-29 10:31:00+05:30,31.75,31.75,31.7,31.7,300,363600
77,2022-04-29 10:32:00+05:30,31.7,31.7,31.2,31.25,3600,363000
78,2022-04-29 10:33:00+05:30,31.25,31.3,31.15,31.3,1200,363000
79,2022-04-29 10:34:00+05:30,31.3,31.3,31.05,31.05,900,363000
80,2022-04-29 10:35:00+05:30,31.05,31.1,31.05,31.1,900,361200
81,2022-04-29 10:36:00+05:30,31.1,31.1,31.05,31.05,900,361200
82,2022-04-29 10:37:00+05:30,31.05,31.25,31.05,31.25,1800,361200
83,2022-04-29 10:38:00+05:30,31.25,31.25,31.15,31.15,300,361200
84,2022-04-29 10:39:00+05:30,31.15,31.75,31.15,31.7,1200,361800
85,2022-04-29 10:40:00+05:30,31.7,31.7,31.7,31.7,600,361800
86,2022-04-29 10:41:00+05:30,31.7,31.95,31.7,31.95,1200,363000
87,2022-04-29 10:42:00+05:30,31.95,32.3,31.85,32.2,1500,363000
88,2022-04-29 10:43:00+05:30,32.2,32.2,31.95,32.05,1200,363000
89,2022-04-29 10:44:00+05:30,32.05,32.3,32.05,32.3,4500,362400
90,2022-04-29 10:45:00+05:30,32.3,32.8,32.3,32.55,1500,362400
91,2022-04-29 10:46:00+05:30,32.55,32.55,32.55,32.55,0,362400
92,2022-04-29 10:47:00+05:30,32.4,32.45,32.4,32.45,1500,364500
93,2022-04-29 10:48:00+05:30,32.45,32.45,32.45,32.45,0,364500
94,2022-04-29 10:49:00+05:30,32.45,32.65,32.45,32.65,300,364500
95,2022-04-29 10:50:00+05:30,32.65,32.65,32.25,32.45,600,364500
96,2022-04-29 10:51:00+05:30,32.45,32.45,32.45,32.45,0,364500
97,2022-04-29 10:52:00+05:30,32.45,32.45,30.5,31.45,16200,364500
98,2022-04-29 10:53:00+05:30,31.45,31.45,30.9,31.1,1200,362700
99,2022-04-29 10:54:00+05:30,31.1,31.1,30.8,30.8,0,362700
100,2022-04-29 10:55:00+05:30,30.8,30.8,30.8,30.8,900,362700
101,2022-04-29 10:56:00+05:30,30.75,31.0,30.75,31.0,1500,363000
102,2022-04-29 10:57:00+05:30,31.0,31.0,31.0,31.0,2100,363000
103,2022-04-29 10:58:00+05:30,31.0,31.1,30.8,31.1,2100,363000
104,2022-04-29 10:59:00+05:30,31.1,31.1,30.9,30.95,600,364800
105,2022-04-29 11:00:00+05:30,30.95,31.05,30.95,31.0,1200,364800
106,2022-04-29 11:01:00+05:30,31.0,31.0,31.0,31.0,300,364800
107,2022-04-29 11:02:00+05:30,31.0,31.15,31.0,31.15,300,364800
108,2022-04-29 11:03:00+05:30,31.15,31.15,30.8,30.95,900,363900
109,2022-04-29 11:04:00+05:30,30.95,31.05,30.95,31.05,900,363900
110,2022-04-29 11:05:00+05:30,31.05,31.05,31.0,31.0,600,363900
111,2022-04-29 11:06:00+05:30,31.25,31.4,31.25,31.4,1200,364200
112,2022-04-29 11:07:00+05:30,31.4,31.6,31.4,31.45,600,364200
113,2022-04-29 11:08:00+05:30,31.45,31.45,31.2,31.2,300,364200
114,2022-04-29 11:09:00+05:30,31.2,31.2,31.2,31.2,0,364200
115,2022-04-29 11:10:00+05:30,31.2,31.2,31.2,31.2,300,364500
116,2022-04-29 11:11:00+05:30,31.2,31.2,30.8,30.8,600,364800
