,date,open,high,low,close,volume,oi
0,2022-04-29 09:15:00+05:30,28.5,28.55,28.5,28.55,0,16500
1,2022-04-29 09:16:00+05:30,28.55,28.55,21.0,21.0,750,16500
2,2022-04-29 09:17:00+05:30,21.0,24.65,21.0,23.55,2250,17250
3,2022-04-29 09:18:00+05:30,23.55,25.65,23.4,23.6,5250,17250
4,2022-04-29 09:19:00+05:30,23.6,24.05,23.6,23.65,12000,17250
5,2022-04-29 09:20:00+05:30,23.65,25.5,23.65,25.4,9000,21000
6,2022-04-29 09:21:00+05:30,25.25,25.25,23.15,23.15,24750,21000
7,2022-04-29 09:22:00+05:30,23.1,23.6,23.0,23.0,6000,21000
8,2022-04-29 09:23:00+05:30,22.9,23.0,22.9,23.0,3000,33750
9,2022-04-29 09:24:00+05:30,23.0,23.0,23.0,23.0,0,33750
10,2022-04-29 09:25:00+05:30,23.0,23.9,23.0,23.75,4500,33750
11,2022-04-29 09:26:00+05:30,23.75,24.0,23.2,23.75,3750,33750
12,2022-04-29 09:27:00+05:30,23.75,25.3,23.75,25.3,6000,33750
13,2022-04-29 09:28:00+05:30,25.3,25.7,25.1,25.7,2250,33750
14,2022-04-29 09:29:00+05:30,25.7,29.7,25.7,28.9,3750,30750
15,2022-04-29 09:30:00+05:30,28.9,28.9,26.8,26.8,0,30750
16,2022-04-29 09:31:00+05:30,26.8,27.5,26.8,27.5,6000,30750
17,2022-04-29 09:32:00+05:30,27.5,27.9,27.5,27.9,1500,30750
18,2022-04-29 09:33:00+05:30,27.9,28.2,27.9,28.2,1500,33000
19,2022-04-29 09:34:00+05:30,28.2,28.2,27.4,28.15,6000,33000
20,2022-04-29 09:35:00+05:30,28.15,28.15,28.0,28.0,750,33000
21,2022-04-29 09:36:00+05:30,28.0,28.0,28.0,28.0,750,33000
22,2022-04-29 09:37:00+05:30,28.0,28.0,28.0,28.0,0,33000
23,2022-04-29 09:38:00+05:30,27.25,28.1,27.25,28.1,4500,36000
24,2022-04-29 09:39:00+05:30,28.1,28.2,27.9,27.9,2250,36000
25,2022-04-29 09:40:00+05:30,27.9,28.15,27.9,28.15,750,36000
26,2022-04-29 09:41:00+05:30,28.15,28.15,28.15,28.15,0,36000
27,2022-04-29 09:42:00+05:30,28.15,28.25,28.1,28.25,4500,36000
