,date,open,high,low,close,volume,oi
0,2022-04-29 09:42:00+05:30,87.5,87.5,87.5,87.5,0,33600
1,2022-04-29 09:43:00+05:30,87.5,87.5,87.5,87.5,0,33600
2,2022-04-29 09:44:00+05:30,87.5,87.5,87.5,87.5,0,33600
3,2022-04-29 09:45:00+05:30,88.55,88.55,88.55,88.55,600,34200
4,2022-04-29 09:46:00+05:30,88.55,88.55,88.55,88.55,0,34200
5,2022-04-29 09:47:00+05:30,88.55,88.55,88.55,88.55,0,34200
6,2022-04-29 09:48:00+05:30,88.55,88.55,88.55,88.55,0,34200
7,2022-04-29 09:49:00+05:30,88.55,88.55,88.55,88.55,0,34200
8,2022-04-29 09:50:00+05:30,88.55,88.55,88.55,88.55,0,34200
9,2022-04-29 09:51:00+05:30,88.55,89.6,88.55,89.6,600,34800
10,2022-04-29 09:52:00+05:30,89.6,89.6,89.6,89.6,0,34800
11,2022-04-29 09:53:00+05:30,89.6,89.6,89.6,89.6,0,34800
12,2022-04-29 09:54:00+05:30,89.6,89.6,89.6,89.6,0,34800
13,2022-04-29 09:55:00+05:30,89.6,89.6,89.6,89.6,0,34800
14,2022-04-29 09:56:00+05:30,89.6,89.6,89.6,89.6,0,34800
15,2022-04-29 09:57:00+05:30,89.6,89.6,89.6,89.6,0,34800
16,2022-04-29 09:58:00+05:30,89.6,89.6,87.2,87.2,600,34800
17,2022-04-29 09:59:00+05:30,87.2,87.2,87.2,87.2,0,34800
18,2022-04-29 10:00:00+05:30,87.2,87.2,87.2,87.2,0,34800
19,2022-04-29 10:01:00+05:30,87.2,87.2,87.2,87.2,0,34800
20,2022-04-29 10:02:00+05:30,87.2,87.2,87.2,87.2,0,34800
21,2022-04-29 10:03:00+05:30,87.2,87.2,87.2,87.2,0,34800
22,2022-04-29 10:04:00+05:30,87.2,87.2,87.2,87.2,0,34800
23,2022-04-29 10:05:00+05:30,87.2,87.2,87.2,87.2,0,34800
24,2022-04-29 10:06:00+05:30,87.2,87.2,87.2,87.2,0,34800
25,2022-04-29 10:07:00+05:30,87.2,87.2,87.2,87.2,0,34800
26,2022-04-29 10:08:00+05:30,87.2,87.2,87.2,87.2,0,34800
27,2022-04-29 10:09:00+05:30,87.2,87.2,87.2,87.2,0,34800
28,2022-04-29 10:10:00+05:30,87.2,87.2,87.2,87.2,0,34800
29,2022-04-29 10:11:00+05:30,87.2,87.2,87.2,87.2,0,34800
30,2022-04-29 10:12:00+05:30,87.2,87.2,87.2,87.2,0,34800
31,2022-04-29 10:13:00+05:30,87.2,87.2,87.2,87.2,0,34800
32,2022-04-29 10:14:00+05:30,87.2,87.2,87.2,87.2,0,34800
33,2022-04-29 10:15:00+05:30,87.2,87.2,87.2,87.2,0,34800
34,2022-04-29 10:16:00+05:30,87.2,87.2,87.2,87.2,0,34800
35,2022-04-29 10:17:00+05:30,87.2,87.2,87.2,87.2,0,34800
36,2022-04-29 10:18:00+05:30,87.2,87.2,87.2,87.2,0,34800
37,2022-04-29 10:19:00+05:30,87.2,87.2,87.2,87.2,0,34800
38,2022-04-29 10:20:00+05:30,87.2,87.2,87.2,87.2,0,34800
39,2022-04-29 10:21:00+05:30,87.2,87.2,87.2,87.2,0,34800
40,2022-04-29 10:22:00+05:30,87.2,87.2,87.2,87.2,0,34800
41,2022-04-29 10:23:00+05:30,87.2,87.2,87.2,87.2,0,34800
42,2022-04-29 10:24:00+05:30,87.2,87.2,87.2,87.2,0,34800
43,2022-04-29 10:25:00+05:30,87.2,87.2,87.2,87.2,0,34800
44,2022-04-29 10:26:00+05:30,87.2,87.2,87.2,87.2,0,34800
45,2022-04-29 10:27:00+05:30,87.2,87.2,87.2,87.2,0,34800
46,2022-04-29 10:28:00+05:30,87.2,87.2,87.2,87.2,0,34800
47,2022-04-29 10:29:00+05:30,87.2,87.2,87.2,87.2,0,34800
