Symbol,Applicable Step value,"No. of Strikes Provided
In the money - At the money - Out of the money",No of additional strikes which may be enabled intraday
AARTIIND,20,9 - 1 - 9,9
ABB,20,20 - 1 - 20,20
ABBOTINDIA,250,14 - 1 - 14,14
ABCAPITAL,2.5,9 - 1 - 9,9
ABFRL,5,11 - 1 - 11,11
ACC,20,20 - 1 - 20,20
ADANIENT,20,17 - 1 - 17,17
ADANIPORTS,10,15 - 1 - 15,15
ALKEM,50,14 - 1 - 14,14
AMARAJABAT,5,20 - 1 - 20,20
AMBUJACEM,5,12 - 1 - 12,12
APLLTD,10,15 - 1 - 15,15
APOLLOHOSP,100,10 - 1 - 10,10
APOLLOTYRE,2.5,15 - 1 - 15,15
ASHOKLEY,2.5,9 - 1 - 9,9
ASIANPAINT,50,12 - 1 - 12,12
ASTRAL,20,20 - 1 - 20,20
ATUL,100,20 - 1 - 20,20
AUBANK,20,12 - 1 - 12,12
AUROPHARMA,10,13 - 1 - 13,13
AXISBANK,10,14 - 1 - 14,14
BAJAJ-AUTO,50,14 - 1 - 14,14
BAJAJFINSV,250,13 - 1 - 13,13
BAJFINANCE,100,14 - 1 - 14,14
BALKRISIND,20,20 - 1 - 20,20
BALRAMCHIN,10,10 - 1 - 10,10
BANDHANBNK,5,12 - 1 - 12,12
BANKBARODA,2.5,9 - 1 - 9,9
BATAINDIA,20,19 - 1 - 19,19
BEL,2.5,17 - 1 - 17,17
BERGEPAINT,10,14 - 1 - 14,14
BHARATFORG,10,13 - 1 - 13,13
BHARTIARTL,10,14 - 1 - 14,14
BHEL,1,10 - 1 - 10,10
BIOCON,5,13 - 1 - 13,13
BOSCHLTD,250,12 - 1 - 12,12
BPCL,5,14 - 1 - 14,14
BRITANNIA,20,20 - 1 - 20,20
BSOFT,10,9 - 1 - 9,9
CANBK,5,9 - 1 - 9,9
CANFINHOME,10,12 - 1 - 12,12
CHAMBLFERT,10,9 - 1 - 9,9
CHOLAFIN,20,7 - 1 - 7,7
CIPLA,10,20 - 1 - 20,20
COALINDIA,2.5,14 - 1 - 14,14
COFORGE,100,9 - 1 - 9,9
COLPAL,10,20 - 1 - 20,20
CONCOR,10,12 - 1 - 12,12
COROMANDEL,10,16 - 1 - 16,16
CROMPTON,5,16 - 1 - 16,16
CUB,2.5,10 - 1 - 10,10
CUMMINSIND,20,11 - 1 - 11,11
DABUR,5,20 - 1 - 20,20
DALBHARAT,20,15 - 1 - 15,15
DEEPAKNTR,50,9 - 1 - 9,9
DELTACORP,5,11 - 1 - 11,11
DIVISLAB,50,18 - 1 - 18,18
DIXON,100,9 - 1 - 9,9
DLF,5,14 - 1 - 14,14
DRREDDY,50,16 - 1 - 16,16
EICHERMOT,20,20 - 1 - 20,20
ESCORTS,20,18 - 1 - 18,18
EXIDEIND,2.5,13 - 1 - 13,13
FEDERALBNK,1,19 - 1 - 19,19
FSL,2.5,10 - 1 - 10,10
GAIL,2.5,12 - 1 - 12,12
GLENMARK,5,18 - 1 - 18,18
GMRINFRA,1,8 - 1 - 8,8
GNFC,20,7 - 1 - 7,7
GODREJCP,10,15 - 1 - 15,15
GODREJPROP,20,15 - 1 - 15,15
GRANULES,5,13 - 1 - 13,13
GRASIM,20,16 - 1 - 16,16
GSPL,5,11 - 1 - 11,11
GUJGASLTD,10,11 - 1 - 11,11
HAL,20,14 - 1 - 14,14
HAVELLS,20,11 - 1 - 11,11
HCLTECH,20,12 - 1 - 12,12
HDFC,20,20 - 1 - 20,20
HDFCAMC,20,20 - 1 - 20,20
HDFCBANK,20,15 - 1 - 15,15
HDFCLIFE,5,20 - 1 - 20,20
HEROMOTOCO,20,20 - 1 - 20,20
HINDALCO,10,12 - 1 - 12,12
HINDCOPPER,2.5,10 - 1 - 10,10
HINDPETRO,5,11 - 1 - 11,11
HINDUNILVR,20,20 - 1 - 20,20
HONAUT,500,16 - 1 - 16,16
IBULHSGFIN,5,7 - 1 - 7,7
ICICIBANK,10,14 - 1 - 14,14
ICICIGI,20,13 - 1 - 13,13
ICICIPRULI,5,19 - 1 - 19,19
IDEA,1,5 - 1 - 5,5
IDFC,1,12 - 1 - 12,12
IDFCFIRSTB,1,9 - 1 - 9,9
IEX,5,9 - 1 - 9,9
IGL,5,16 - 1 - 16,16
INDHOTEL,5,8 - 1 - 8,8
INDIACEM,5,9 - 1 - 9,9
INDIAMART,100,9 - 1 - 9,9
INDIGO,20,19 - 1 - 19,19
INDUSINDBK,20,9 - 1 - 9,9
INDUSTOWER,5,9 - 1 - 9,9
INFY,20,19 - 1 - 19,19
INTELLECT,20,8 - 1 - 8,8
IOC,1,20 - 1 - 20,20
IPCALAB,20,10 - 1 - 10,10
IRCTC,20,8 - 1 - 8,8
ITC,2.5,19 - 1 - 19,19
JINDALSTEL,10,9 - 1 - 9,9
JKCEMENT,50,10 - 1 - 10,10
JSWSTEEL,10,13 - 1 - 13,13
JUBLFOOD,50,10 - 1 - 10,10
KOTAKBANK,20,18 - 1 - 18,18
L&TFH,1,13 - 1 - 13,13
LALPATHLAB,50,11 - 1 - 11,11
LAURUSLABS,10,12 - 1 - 12,12
LICHSGFIN,5,14 - 1 - 14,14
LT,20,18 - 1 - 18,18
LTI,100,12 - 1 - 12,12
LTTS,100,10 - 1 - 10,10
LUPIN,10,15 - 1 - 15,15
M&M,10,16 - 1 - 16,16
M&MFIN,2.5,12 - 1 - 12,12
MANAPPURAM,2.5,10 - 1 - 10,10
MARICO,5,20 - 1 - 20,20
MARUTI,100,15 - 1 - 15,15
MCDOWELL-N,10,18 - 1 - 18,18
MCX,20,14 - 1 - 14,14
METROPOLIS,50,8 - 1 - 8,8
MFSL,10,16 - 1 - 16,16
MGL,10,15 - 1 - 15,15
MINDTREE,100,8 - 1 - 8,8
MOTHERSUMI,2.5,11 - 1 - 11,11
MPHASIS,50,13 - 1 - 13,13
MRF,500,20 - 1 - 20,20
MUTHOOTFIN,20,14 - 1 - 14,14
NAM-INDIA,5,13 - 1 - 13,13
NATIONALUM,2.5,9 - 1 - 9,9
NAUKRI,100,9 - 1 - 9,9
NAVINFLUOR,100,8 - 1 - 8,8
NBCC,1,8 - 1 - 8,8
NESTLEIND,100,20 - 1 - 20,20
NMDC,2.5,12 - 1 - 12,12
NTPC,1,20 - 1 - 20,20
OBEROIRLTY,20,9 - 1 - 9,9
OFSS,50,14 - 1 - 14,14
ONGC,2.5,14 - 1 - 14,14
PAGEIND,500,17 - 1 - 17,17
PEL,50,9 - 1 - 9,9
PERSISTENT,100,9 - 1 - 9,9
PETRONET,2.5,17 - 1 - 17,17
PFC,1,20 - 1 - 20,20
PFIZER,50,18 - 1 - 18,18
PIDILITIND,20,20 - 1 - 20,20
PIIND,50,11 - 1 - 11,11
PNB,1,8 - 1 - 8,8
POLYCAB,50,10 - 1 - 10,10
POWERGRID,2.5,17 - 1 - 17,17
PVR,20,17 - 1 - 17,17
RAIN,5,8 - 1 - 8,8
RAMCOCEM,10,15 - 1 - 15,15
RBLBANK,2.5,11 - 1 - 11,11
RECLTD,2.5,10 - 1 - 10,10
RELIANCE,20,20 - 1 - 20,20
SAIL,1,19 - 1 - 19,19
SBICARD,10,17 - 1 - 17,17
SBILIFE,10,20 - 1 - 20,20
SBIN,10,10 - 1 - 10,10
SHREECEM,250,19 - 1 - 19,19
SIEMENS,20,20 - 1 - 20,20
SRF,50,10 - 1 - 10,10
SRTRANSFIN,20,11 - 1 - 11,11
STAR,5,13 - 1 - 13,13
SUNPHARMA,10,18 - 1 - 18,18
SUNTV,5,18 - 1 - 18,18
SYNGENE,10,12 - 1 - 12,12
TATACHEM,20,10 - 1 - 10,10
TATACOMM,20,12 - 1 - 12,12
TATACONSUM,10,15 - 1 - 15,15
TATAMOTORS,10,9 - 1 - 9,9
TATAPOWER,5,9 - 1 - 9,9
TATASTEEL,20,13 - 1 - 13,13
TCS,50,15 - 1 - 15,15
TECHM,20,15 - 1 - 15,15
TITAN,50,11 - 1 - 11,11
TORNTPHARM,50,12 - 1 - 12,12
TORNTPOWER,10,10 - 1 - 10,10
TRENT,20,12 - 1 - 12,12
TVSMOTOR,10,12 - 1 - 12,12
UBL,20,15 - 1 - 15,15
ULTRACEMCO,100,12 - 1 - 12,12
UPL,10,15 - 1 - 15,15
VEDL,10,8 - 1 - 8,8
VOLTAS,20,13 - 1 - 13,13
WHIRLPOOL,20,16 - 1 - 16,16
WIPRO,10,12 - 1 - 12,12
ZEEL,5,11 - 1 - 11,11
ZYDUSLIFE,5,15 - 1 - 15,15
